timestamp,open,high,low,close,volume
2023-01-02,98.04,100.0,97.64,100.0,3762522
2023-01-03,99.08,100.83,98.13,99.06,2384351
2023-01-04,97.94,99.61,97.04,97.04,3684841
2023-01-05,98.93,99.02,98.52,98.52,981478
2023-01-06,98.75,99.65,98.12,98.12,3575711
2023-01-09,98.48,99.93,97.21,99.48,4370480
2023-01-10,99.35,100.31,97.6,98.64,162958
2023-01-11,100.21,101.18,99.11,101.18,2034470
2023-01-12,99.44,101.29,97.86,97.86,4720082
2023-01-13,99.4,101.2,97.92,99.98,2489136
2023-01-16,98.68,99.46,96.71,98.16,819136
2023-01-17,100.32,101.32,99.18,99.18,3326027
2023-01-18,99.35,100.12,98.18,98.18,3378212
2023-01-19,100.68,101.85,99.86,99.86,4949449
2023-01-20,98.92,100.8,97.69,100.8,538850
2023-01-23,99.33,99.69,97.95,98.69,2230149
2023-01-24,98.99,100.76,98.7,99.67,147109
2023-01-25,98.24,99.27,97.49,99.27,437228
2023-01-26,98.94,100.24,98.31,100.01,1491500
2023-01-27,99.33,100.98,97.84,100.83,3794813
2023-01-30,97.58,99.06,97.1,99.06,1486230
2023-01-31,97.56,98.27,95.99,98.27,2704555
2023-02-01,97.24,97.78,97.01,97.78,1793959
2023-02-02,98.89,99.65,97.29,98.94,520249
2023-02-03,98.67,99.16,97.96,98.25,4266750
2023-02-06,98.58,99.42,96.68,99.42,375844
2023-02-07,99.32,100.79,99.01,99.86,325379
2023-02-08,99.78,101.37,98.22,100.77,3423537
2023-02-09,99.85,101.01,98.27,100.41,901101
2023-02-10,98.26,100.82,98.17,100.82,3894359
2023-02-13,98.12,98.96,97.11,97.97,1048535
2023-02-14,98.99,99.83,97.72,99.83,2326187
2023-02-15,99.4,99.56,99.34,99.35,3507127
2023-02-16,99.35,100.78,99.21,100.78,4974108
2023-02-17,99.92,101.62,98.89,98.89,1064801
2023-02-20,101.14,101.67,100.37,101.1,3254008
2023-02-21,97.94,99.74,96.1,99.74,1149293
2023-02-22,98.79,98.87,97.77,98.1,1369749
2023-02-23,100.98,102.18,100.4,102.18,4777391
2023-02-24,99.44,100.22,98.41,98.41,3796620
2023-02-27,99.4,101.25,97.63,99.79,3420693
2023-02-28,100.11,100.2,99.3,100.2,274863
2023-03-01,101.6,101.94,101.38,101.82,2158031
2023-03-02,103.92,105.74,103.33,103.51,2504225
2023-03-03,102.03,103.87,100.29,101.63,3652482
2023-03-06,102.14,103.13,100.75,103.13,2169075
2023-03-07,102.07,102.96,100.52,101.93,2180691
2023-03-08,99.83,100.04,98.61,99.5,1389635
2023-03-09,101.83,102.87,101.81,102.63,2169425
2023-03-10,102.04,104.03,100.71,101.35,4769564
2023-03-13,101.76,102.67,101.1,102.44,932126
2023-03-14,103.79,105.69,103.0,103.21,173917
2023-03-15,102.15,103.66,101.73,101.77,300423
2023-03-16,101.38,103.31,99.54,100.12,2895120
2023-03-17,99.81,101.61,98.48,100.79,3030206
2023-03-20,100.66,102.2,98.71,99.21,4343081
2023-03-21,100.09,100.97,99.01,100.37,1714845
2023-03-22,101.82,102.55,100.89,100.89,2570998
2023-03-23,100.94,102.55,100.85,101.08,3055415
2023-03-24,100.77,100.83,99.22,100.78,1174648
2023-03-27,100.31,100.78,98.36,98.88,1323296
2023-03-28,101.68,102.28,100.29,101.95,1372668
2023-03-29,99.58,101.44,97.71,99.72,3810873
2023-03-30,100.81,100.85,99.36,99.36,4297033
2023-03-31,98.31,99.94,97.65,97.65,986100
2023-04-03,97.75,98.61,96.32,96.32,830972
2023-04-04,96.87,98.63,95.67,96.65,4897737
2023-04-05,96.27,96.55,94.84,96.12,3134250
2023-04-06,97.65,99.09,97.28,97.75,813996
2023-04-07,97.78,98.63,97.57,98.63,1477382
2023-04-10,97.87,99.74,96.17,97.67,2558518
2023-04-11,95.25,95.3,94.16,94.16,1783142
2023-04-12,95.74,96.58,94.08,95.41,462001
2023-04-13,97.81,99.76,96.42,96.42,4864466
2023-04-14,99.53,100.16,98.05,98.66,1730085
2023-04-17,99.33,100.09,97.99,100.09,1293789
2023-04-18,97.37,97.43,96.42,96.42,2519353
2023-04-19,98.71,99.86,98.35,98.84,3317341
2023-04-20,98.59,98.89,97.38,97.95,2284384
2023-04-21,97.57,98.17,96.13,98.04,3853893
2023-04-24,97.89,98.42,96.69,98.18,885401
2023-04-25,96.91,98.38,95.4,98.38,3076398
2023-04-26,98.09,99.07,96.32,97.46,826974
2023-04-27,97.67,98.64,96.79,96.79,226945
2023-04-28,96.4,97.36,96.31,97.18,1665046
2023-05-01,97.99,99.16,97.42,98.63,2103959
2023-05-02,96.71,98.06,94.9,95.62,327917
2023-05-03,98.75,99.79,97.27,99.06,3482225
2023-05-04,96.79,97.56,95.56,95.56,1838733
2023-05-05,98.55,99.26,96.5,96.5,2101179
2023-05-08,96.14,96.4,94.05,94.05,1755029
2023-05-09,98.47,100.46,97.46,99.25,3481948
2023-05-10,98.27,98.6,96.77,98.6,1559602
2023-05-11,99.86,100.19,99.71,100.19,4396142
2023-05-12,98.96,100.74,97.13,100.74,4786221
2023-05-15,98.02,98.47,97.08,97.14,550412
2023-05-16,98.44,99.74,98.37,99.64,273414
2023-05-17,97.36,98.95,96.8,98.95,1102088
2023-05-18,95.77,95.98,94.43,95.28,2098732
2023-05-19,96.92,98.65,95.11,95.11,280996
